,barcode,oh_nr,type,type_nr,oh_value,cathode_nr,cathode_point,cathode_point_x_std,cathode_point_y_std,anode_nr,anode_point,anode_point_x_std,anode_point_y_std
48,11,48,right,16,0.745,16,"[821, 712]",337.678,21.5,17,"[840, 564]",329.807,23.386
49,11,49,right,17,0.941,17,"[861, 750]",337.678,21.5,18,"[874, 562]",329.807,23.386
50,11,50,right,18,1.004,18,"[899, 758]",337.678,21.5,19,"[908, 557]",329.807,23.386
51,11,51,right,19,1.083,19,"[936, 766]",337.678,21.5,20,"[939, 549]",329.807,23.386
52,11,52,right,20,1.084,20,"[972, 748]",337.678,21.5,21,"[981, 531]",329.807,23.386
53,11,53,right,21,1.051,21,"[1009, 759]",337.678,21.5,22,"[1023, 549]",329.807,23.386
54,11,54,right,22,1.046,22,"[1045, 761]",337.678,21.5,23,"[1061, 552]",329.807,23.386
55,11,55,right,23,1.082,23,"[1081, 748]",337.678,21.5,24,"[1098, 532]",329.807,23.386
56,11,56,right,24,1.051,24,"[1119, 735]",337.678,21.5,25,"[1133, 525]",329.807,23.386
57,11,57,right,25,1.017,25,"[1156, 730]",337.678,21.5,26,"[1173, 527]",329.807,23.386
58,11,58,right,26,1.154,26,"[1193, 737]",337.678,21.5,27,"[1203, 506]",329.807,23.386
59,11,59,right,27,1.072,27,"[1229, 730]",337.678,21.5,28,"[1246, 516]",329.807,23.386
60,11,60,right,28,1.153,28,"[1265, 734]",337.678,21.5,29,"[1270, 503]",329.807,23.386
61,11,61,right,29,1.26,29,"[1301, 741]",337.678,21.5,30,"[1287, 489]",329.807,23.386
62,11,62,right,30,1.292,30,"[1335, 742]",337.678,21.5,31,"[1305, 485]",329.807,23.386
63,11,63,right,31,0.943,31,"[1363, 701]",337.678,21.5,32,"[1325, 516]",329.807,23.386
